case_id,split
229,train
421,train
119,train
115,train
169,train
425,train
333,train
343,train
156,train
299,train
402,train
142,train
331,train
401,train
400,train
196,train
110,train
224,train
146,train
362,train
153,train
173,train
264,train
084,train
384,train
181,train
075,train
246,train
371,train
201,train
120,train
250,train
267,train
205,train
318,train
375,train
206,train
211,train
348,train
236,train
037,train
140,train
392,train
194,train
355,train
420,train
060,train
112,train
312,train
251,train
006,train
324,train
431,train
159,train
151,train
178,train
185,train
010,train
407,train
104,train
082,train
039,train
357,train
168,train
423,train
377,train
200,train
386,train
212,train
303,train
195,train
090,train
293,train
164,train
326,train
148,train
002,train
093,train
381,train
070,train
255,train
124,train
439,train
097,train
144,train
398,train
322,train
419,train
098,train
276,train
069,train
024,train
038,train
145,train
123,train
257,train
204,train
183,train
068,train
301,train
273,train
393,train
422,train
268,train
358,train
252,train
126,train
147,train
344,train
270,train
225,train
230,train
087,train
379,train
221,train
130,train
380,train
396,train
325,train
340,train
184,train
274,train
319,train
337,train
390,train
113,train
180,train
399,train
304,train
427,train
434,train
323,train
235,train
424,train
165,train
137,train
199,train
260,train
234,train
116,train
121,train
226,train
364,train
448,train
128,train
373,train
108,train
334,train
291,train
134,train
327,train
045,train
428,train
066,train
285,train
086,train
244,train
187,train
160,train
013,train
036,train
029,train
171,train
143,train
360,train
307,train
223,train
096,train
052,train
242,train
336,train
342,train
179,train
042,train
351,train
208,train
284,train
256,train
449,train
004,train
258,train
405,train
101,train
228,train
385,train
215,train
172,train
099,train
294,train
217,train
062,train
048,train
033,train
269,train
329,train
202,train
403,train
028,train
353,train
232,train
262,train
290,train
163,train
383,train
139,train
063,train
136,train
129,train
429,train
008,train
328,train
418,train
065,train
302,train
015,train
157,train
041,train
414,train
409,train
218,train
281,train
391,train
339,train
238,train
209,train
214,train
297,train
412,train
253,train
440,train
413,train
305,train
352,train
271,train
203,train
162,train
044,train
219,train
191,train
311,train
261,train
106,train
054,train
001,train
435,train
050,train
081,train
207,train
035,train
265,train
368,train
092,train
341,train
426,train
053,train
347,train
266,train
243,train
014,train
317,train
089,train
389,train
275,train
167,train
330,train
443,train
135,train
308,train
433,train
321,train
245,train
055,train
365,train
051,train
175,train
190,train
447,train
188,train
170,train
059,train
049,train
346,train
237,train
254,train
022,train
315,train
161,train
278,train
192,train
387,train
295,train
415,train
345,train
259,train
310,train
150,train
131,train
152,train
361,train
100,train
374,train
088,train
332,train
216,train
122,train
450,train
021,train
189,train
072,train
107,train
272,train
350,train
437,train
103,train
248,val
080,val
438,val
026,val
222,val
046,val
417,val
366,val
314,val
085,val
349,val
247,val
378,val
198,val
027,val
193,val
241,val
406,val
005,val
011,val
127,val
404,val
102,val
410,val
288,val
007,val
289,val
388,val
067,val
445,val
133,val
018,val
079,val
432,val
220,val
292,val
174,val
074,val
154,val
000,val
057,val
017,val
077,val
040,val
369,val
227,val
298,val
279,val
009,val
118,val
094,val
394,val
283,val
125,val
058,val
064,val
043,val
370,val
047,val
061,val
109,val
166,val
354,val
105,val
397,val
177,val
210,val
182,test
233,test
176,test
078,test
114,test
363,test
372,test
155,test
111,test
030,test
231,test
240,test
083,test
095,test
019,test
441,test
376,test
071,test
446,test
023,test
442,test
073,test
076,test
306,test
056,test
309,test
367,test
149,test
141,test
338,test
320,test
430,test
416,test
287,test
280,test
016,test
117,test
282,test
003,test
395,test
408,test
313,test
239,test
091,test
436,test
382,test
249,test
444,test
158,test
411,test
296,test
359,test
335,test
132,test
300,test
032,test
213,test
020,test
186,test
356,test
286,test
031,test
025,test
277,test
263,test
034,test
316,test
138,test
